character,level,strokes,grade,freq,onyomi,kunyomi,meanings
具,N3,8,3,629,グ,そな.える; つぶさ.に,"tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture"
辞,N3,13,4,633,ジ,や.める; いな.む,resign; word; term; expression
因,N3,6,5,636,イン,よ.る; ちな.む,cause; factor; be associated with; depend on; be limited to
馬,N3,10,2,639,バ,うま; うま-; ま,horse
愛,N3,13,4,640,アイ,いと.しい; かな.しい; め.でる; お.しむ; まな,love; affection; favourite
富,N3,12,4,644,フ; フウ,と.む; とみ,wealth; enrich; abundant
彼,N3,8,8,648,ヒ,かれ; かの; か.の,he; that; the
未,N3,5,4,650,ミ; ビ,いま.だ; ま.だ; ひつじ,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac
舞,N3,15,8,655,ブ,ま.う; -ま.う; まい,dance; flit; circle; wheel
亡,N3,3,6,661,ボウ; モウ,な.い; な.き-; ほろ.びる; ほろ.ぶ; ほろ.ぼす,deceased; the late; dying; perish
冷,N3,7,4,667,レイ,つめ.たい; ひ.える; ひ.や; ひ.ややか; ひ.やす; ひ.やかす; さ.める; さ.ます,"cool; cold (beer, person); chill"
適,N3,14,5,670,テキ,かな.う,suitable; occasional; rare; qualified; capable
婦,N3,11,5,671,フ,よめ,lady; woman; wife; bride
寄,N3,11,5,673,キ,よ.る; -よ.り; よ.せる,draw near; stop in; bring near; gather; collect; send; forward
込,N3,5,8,675,,-こ.む; こ.む; こ.み; -こ.み; こ.める,crowded; mixture; in bulk; included; (kokuji)
顔,N3,18,2,676,ガン,かお,face; expression
類,N3,18,4,678,ルイ,たぐ.い,sort; kind; variety; class; genus
余,N3,7,5,680,ヨ,あま.る; あま.り; あま.す; あんま.り,too much; myself; surplus; other; remainder
王,N3,4,1,684,オウ; -ノウ,,king; rule; magnate
返,N3,7,3,685,ヘン,かえ.す; -かえ.す; かえ.る; -かえ.る,return; answer; fade; repay
妻,N3,8,5,691,サイ,つま,wife; spouse
背,N3,9,6,696,ハイ,せ; せい; そむ.く; そむ.ける,stature; height; back; behind; disobey; defy; go back on; rebel
熱,N3,15,4,700,ネツ,あつ.い,heat; temperature; fever; mania; passion
宿,N3,11,3,701,シュク,やど; やど.る; やど.す,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
薬,N3,16,3,702,ヤク,くすり,medicine; chemical; enamel; gunpowder; benefit
険,N3,11,5,707,ケン,けわ.しい,precipitous; inaccessible place; impregnable position; steep place; sharp eyes
頼,N3,16,8,708,ライ,たの.む; たの.もしい; たよ.る,trust; request
覚,N3,12,4,710,カク,おぼ.える; さ.ます; さ.める; さと.る,memorize; learn; remember; awake; sober up
船,N3,11,2,713,セン,ふね; ふな-,ship; boat
途,N3,10,8,717,ト,みち,route; way; road
許,N3,11,5,720,キョ,ゆる.す; もと,permit; approve
抜,N3,7,8,726,バツ; ハツ; ハイ,ぬ.く; -ぬ.く; ぬ.き; ぬ.ける; ぬ.かす; ぬ.かる,slip out; extract; pull out; pilfer; quote; remove; omit
便,N3,9,4,729,ベン; ビン,たよ.り,convenience; facility; excrement; feces; letter; chance
留,N3,10,5,731,リュウ; ル,と.める; と.まる; とど.める; とど.まる; るうぶる,detain; fasten; halt; stop
罪,N3,13,5,732,ザイ,つみ,guilt; sin; crime; fault; blame; offense
努,N3,7,4,749,ド,つと.める,toil; diligent; as much as possible
精,N3,14,5,752,セイ; ショウ,しら.げる; くわ.しい,refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill
散,N3,12,4,758,サン,ち.る; ち.らす; -ち.らす; ち.らかす; ち.らかる; ち.らばる; ばら; ばら.ける,scatter; disperse; spend; squander
静,N3,14,4,764,セイ; ジョウ,しず-; しず.か; しず.まる; しず.める,quiet
婚,N3,11,8,767,コン,,marriage
喜,N3,12,5,769,キ,よろこ.ぶ; よろこ.ばす,rejoice; take pleasure in
浮,N3,10,8,776,フ,う.く; う.かれる; う.かぶ; う.かべる,floating; float; rise to surface
絶,N3,12,5,784,ゼツ,た.える; た.やす; た.つ,discontinue; sever; cut off; abstain; interrupt; suppress; be beyond; without match; peerless; unparalleled
